collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/5/2023,FIUBULLT,FIUBULLT,,release,,,A69-9001-57456,,,,,,,5/5/2022 14:00,UTC,-79.98657,26.89673,0101000020E6100000373384E823FF53C0AEC1D35090E53A40,2022,5,5,125,14,,,Papastamatiou YP. 2023. Movements of bull sharks between artificial and natural reefs,FIUBULLT-1521573-2022-05-05-release-A69-9001-57456,Yannis Papastamatiou (ypapasta@fiu.edu),"Kevin Boswell (kevin.boswell@fiu.edu), Alastair Harborne (aharborn@fiu.edu), Michael Heithaus (heithaus@fiu.edu), Yannis Papastamatiou (ypapasta@fiu.edu)"
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ZION,130021,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:30,UTC,-80.00733,26.96303,0101000020E6100000E6913F18780054C01F11532289F63A40,2022,5,7,127,15.50083333,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781752,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ESSO,130020,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:35,UTC,-80.00806,26.96417,0101000020E6100000F819170E840054C0C9C859D8D3F63A40,2022,5,7,127,15.59611111,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781727,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ESSO,130020,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:36,UTC,-80.00806,26.96417,0101000020E6100000F819170E840054C0C9C859D8D3F63A40,2022,5,7,127,15.60888889,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781728,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ZION,130021,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:37,UTC,-80.00733,26.96303,0101000020E6100000E6913F18780054C01F11532289F63A40,2022,5,7,127,15.62444444,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781758,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ESSO,130020,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:39,UTC,-80.00806,26.96417,0101000020E6100000F819170E840054C0C9C859D8D3F63A40,2022,5,7,127,15.65194444,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781730,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ESSO,130020,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:43,UTC,-80.00806,26.96417,0101000020E6100000F819170E840054C0C9C859D8D3F63A40,2022,5,7,127,15.72583333,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781733,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ZION,130021,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:44,UTC,-80.00733,26.96303,0101000020E6100000E6913F18780054C01F11532289F63A40,2022,5,7,127,15.73472222,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781763,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ESSO,130020,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:44,UTC,-80.00806,26.96417,0101000020E6100000F819170E840054C0C9C859D8D3F63A40,2022,5,7,127,15.73972222,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781735,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
FIUBULLT,FIUBULLT-1521573-2022-05-05,Carcharhinus leucas,bull shark,10/21/2023,GGSPAGA,GGSPAGA,ZION,130021,28,27,A69-9001-57456,A69-9001,A69-9001-57456,,pinger,,,5/7/2022 15:44,UTC,-80.00733,26.96303,0101000020E6100000E6913F18780054C01F11532289F63A40,2022,5,7,127,15.74666667,Martin and Palm Beach counties,,"Locascio, J.V.",GGSPAGA-A69-9001-57456-2781764,Jim Locascio (locascio@mote.org),Jim Locascio (locascio@mote.org)
